timestamp;ecg
8;501
9;502
10;503
11;512
12;503
13;498
14;506
15;507
0;503
1;505
2;509
3;508
4;497
5;498
6;494
7;507
8;507
9;505
10;497
11;506
12;507
13;498
14;504
15;504
0;503
1;509
2;505
3;502
4;502
5;498
6;507
7;504
8;508
9;499
10;502
11;504
12;511
13;505
14;499
15;493
0;501
1;503
2;504
3;505
4;503
5;507
6;505
7;501
8;498
9;496
10;510
11;500
12;510
13;498
14;502
15;505
0;502
1;508
2;502
3;504
4;511
5;512
6;499
7;512
8;499
9;507
10;499
11;499
12;504
13;499
14;503
15;508
0;504
1;497
2;510
3;505
4;507
5;497
6;501
7;500
8;503
9;505
10;502
11;498
12;502
13;513
14;506
15;509
0;499
1;501
2;507
3;504
4;506
5;496
